Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-07-18,Thor: Love and Thunder,2022,,,,"How can you make a crappier movie with such a big budget? Marvel becomes a disaster on wheels. Fortunately, Christian Bale is there to perf",,2022-07-17
2022-07-18,The Monuments Men,2014,,4,,"An interesting and enjoyable film, with a light but historical tone. Very good and entertaining",,2022-07-18
2022-07-19,Malcolm & Marie,2021,,4,,"A very interesting film, with a couple arguing and criticizing cinema for almost 2 hours. The duo works perfectly. First film in black and white and very happy. Interesting ideas and milliliterate music. Lots of close-ups. The film tries to ask questions about cinema, should there always be a message, Real's intention, was moolight's Real legitimate to talk about homosexuality? A good experience!",,2022-07-18
2022-07-22,BlacKkKlansman,2018,,4,,"A film I really liked, very true to life, with an interesting element of humor and lightness, while at the same time portraying heavy and important aspects. Good dialogue, very cool pace throughout. A film that makes you think about following an ideology or a figure.",,2022-07-21
2022-07-24,The Gray Man,2022,,2.5,,"Very cool cast, unfortunately the film remains average. The plot isn't really developed, fighting all the way through the film for a few things and in the end doing nothing with them? No revolutionary ideas, but some pretty cool scenes: plane, street, .... Ryan's character would have deserved more focus on the ghost aspect.",,2022-07-23
2022-07-24,Sorry to Bother You,2018,,5,,"Film très drôle, la critique est très présente bien qu'un peu grosse. Pas mal de Vibe de la série Atlanta dans la Real et même dans les acteurs (normal). Faite juste gaffe il prend une tournure inattendue",,2022-07-24
2022-07-30,The Big Short,2015,,3,,"Film a little long, I didn't understand everything because I don't know anything about finance, so it's quickly complicated to explain the reason for an economic crisis. However, the film does try with some very funny interludes that keep you hooked. I didn't find Christian Bale at his best, but overall the actors are cool. Good entertainment in real terms, but the film can quickly lose you.",,2022-07-30
2022-08-09,The Usual Suspects,1995,,3.5,,A crime/mafia film I really enjoyed,,2022-08-08
2022-08-25,Ambulance,2022,,2,,"I couldn't even finish it. But I usually like Beau, and I liked the Transformers quite a bit. But here we don't have useless shots, drones that serve no purpose, cuts that make you puke. The script is shaky at the end, in short, I really didn't like it.",,2022-08-24
2022-08-25,Constantine: The House of Mystery,2022,,3,,"Showcase that ends the arc of the dc animated universe. The DC animated films are so underwhelming, I loved them all. DC managed to set up a better universe in its animated films than Marvel did in its movies. And then there's batmans >>>>",,2022-08-24
2022-08-26,Lady Bird,2017,,4,,"I loved the film. I was afraid it would turn into an awkward teenage movie, but at no point did it do the right thing. Well, Timothée Chalamet as a dark character is weird haha. But otherwise a really cool film, incredible character development and the lead actress plays it very, very well.",,2022-08-26
2022-09-05,Decision to Leave,2022,,4,,"J'ai vraiment bien aimé. Une intrigue original. On reconnaît l'attention de chaque détail. La bo du film m'a pas mal marqué aussi. Des nuits hantées par des affaires non résolus, et la libération de ses démons marqué par le sourire de la fin. Le film peut être cependant complexe a comprendre parfois",,2022-09-04
2022-09-06,Sink or Swim,2018,,4,,"A feel-good movie, the story is really cool and also brings to light subjects like depression and virility. I found it touching and, frankly, the actors are strong.",,2022-09-06
2022-09-16,Everything Everywhere All at Once,2022,,5,,"A film that almost touches on the superhero. Perfectly balanced between humor and seriousness. There are poignant moments where no humor is involved, and other moments that are totally zany but don't take us out of the film. A masterful director, actors (❤️). It's a film that does things well and doesn't take itself too seriously. Here's hoping for a new breath of this style as Marvel continues to sink a little more with each film.",,2022-09-15
2022-09-16,Three Thousand Years of Longing,2022,,4,,"I really liked the settings, the stories and the history. The duo works very well and I was carried away by the accounts.",,2022-09-15
2023-10-31,The Creator,2023,,4,,"A film that falls perfectly into what I like: the universe, the atmosphere, the actors. Well, the story's clearly not perfect and there are a lot of grey areas, but frankly, the visuals are really beautiful.",,2023-10-30
2023-11-07,Lord of War,2005,,3,,"Seen at Louis's, a pleasant film, Real has some good ideas and the story is easy to get caught up in!",,2023-11-07
2023-12-16,Cha Cha Real Smooth,2022,,4.5,,"Some films are just there to comfort you and help you move on because you identify a little too much, but this is one of them.",,2023-12-15
2023-12-21,Past Lives,2023,,4,,A story about a root that doesn't fit in,,2023-12-20
2023-12-26,Saltburn,2023,,3,,I? Wow What just happened?,,2023-12-25
2023-12-28,Anatomy of a Fall,2023,,4,,"It could have been a documentary and I would have believed it. Honestly, it's all there and it's quite disturbing, the impression of being a direct spectator of the drama.",,2023-12-26
2024-01-08,Falcon Lake,2022,,3.5,,Bring me back summer,,2024-01-08
2024-01-17,The Marvels,2023,,2,,"The trio works really well, but Marvel continues its agony over the films",,2024-01-16
2024-01-22,The Farewell,2019,,4,,Very sweet but very sad,,2024-01-22
2024-01-24,Aquaman and the Lost Kingdom,2023,,2,,"Such a shame to have made it into something fun. Nothing to do with the comics, too bad",,2024-01-24
2024-02-21,"Oslo, August 31st",2011,,4,,"2nd Joachim Trier film I've seen (I'm missing Reprise). The subjects are as well dealt with as ever, but it's still hard to watch because you really feel immersed in this lack of feeling and emotion, you can feel the emptiness and surrender. All the wobbly reactions, advice and discussions. Even in the realization of what he misses most, he feels nothing but disgust (bonus for the city shots).",,2024-02-20
2024-02-22,You Were Never Really Here,2017,,4,,"Phoenix trop fort, la musique trop fort (dans les 2 sens), tous est basé sur la folie et la musique aide énormément, on remet toujours en question ce que l'ont voit. Au final très peu de scène d'extrême violence mais tout le climat du film est violent parce qu'il nous laisse comprendre, c'était vraiment désagréable comme sensation mdr",,2024-02-21
2024-02-24,The Hurt Locker,2008,,3,,The Avengers bomb squad,,2024-02-23
2024-02-25,Before Sunrise,1995,,4,,It doesn't have to last forever,,2024-02-24
2024-02-26,Before Sunset,2004,,4,,Not very happy people after all,,2024-02-25
2024-02-27,Before Midnight,2013,,3,,"In fact, the fight scene is quite flawed.",,2024-02-27
2024-03-07,Dune: Part Two,2024,,4,,"What do you mean the emperor is so easily fooled, though?",,2024-03-06
2024-05-17,Snowpiercer,2013,,,,"I watched it on the train, very meta.",,2024-05-17
2024-05-27,Mars Express,2023,,5,,Where do we sign up for more stuff like this?,,2024-05-26
2024-06-18,Dragon Princess,2021,,,,"Well, yes, actually, childish (normal for the audience) but effective and beautiful, and in the end a lot of metaphor, so yes.",,2024-06-17
2024-07-30,The Ministry of Ungentlemanly Warfare,2024,,,,"Guy, I like what you're doing, even if it sometimes smells a bit like reheating, frankly it's a good time.",,2024-07-30
2024-08-30,Carol,2015,,,,"Very few films hit the nail on the head, and Carol is one of them.",,2024-08-29
2024-09-01,Atonement,2007,,5,,"I hate you Joe, I hate you Cumberbatch nan frankly HORRIBLE I WANT TO FORGET EVERYTHING FORGET",,2024-09-01
2024-09-10,Columbus,2017,,3,,"I was a little disappointed, I probably had too many expectations of this film, but it's a very beautiful film, and there was probably little missing for me to fully appreciate it, certainly a more present and memorable soundtrack. However, I still love films about people in search of meaning and definition. These wandering characters who are transformed by a harmless encounter, surely I'm watching too much film? Yes",,2024-09-10
