Date,Name,Year,Letterboxd URI,Rating
2022-06-22,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2022-06-22,The Batman,2022,https://boxd.it/eDGs,5
2022-06-23,Heat,1995,https://boxd.it/2bg8,4
2022-06-24,Punch-Drunk Love,2002,https://boxd.it/20E4,4
2022-07-18,The Monuments Men,2014,https://boxd.it/4OxQ,4
2022-07-19,Malcolm & Marie,2021,https://boxd.it/r5cO,4
2022-07-22,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2022-07-24,The Gray Man,2022,https://boxd.it/rb7q,2.5
2022-07-24,Sorry to Bother You,2018,https://boxd.it/f21E,5
2022-07-26,The Gentlemen,2019,https://boxd.it/iYBQ,4
2022-07-27,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,4
2022-07-30,The Big Short,2015,https://boxd.it/ajZw,3
2022-08-09,The Usual Suspects,1995,https://boxd.it/29XE,3.5
2022-08-22,Top Gun,1986,https://boxd.it/29JC,3
2022-08-25,Ambulance,2022,https://boxd.it/sFxg,2
2022-08-25,Constantine: The House of Mystery,2022,https://boxd.it/tLqM,3
2022-08-26,Lady Bird,2017,https://boxd.it/dGNE,4
2022-08-28,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2022-09-05,Decision to Leave,2022,https://boxd.it/qp9e,4
2022-09-06,Sink or Swim,2018,https://boxd.it/hqqM,4
2022-09-07,The Wannabes,2022,https://boxd.it/rNjk,3
2022-09-07,Bye Bye Morons,2020,https://boxd.it/oekm,4
2022-09-08,Wrath of Man,2021,https://boxd.it/nEia,4
2022-09-16,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-09-16,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,4
2022-09-29,Bullet Train,2022,https://boxd.it/qW26,4
2022-10-03,The Hunger Games,2012,https://boxd.it/2uds,4
2022-10-03,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,2
2022-10-04,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,2.5
2022-10-05,Fargo,1996,https://boxd.it/2aHM,5
2022-10-29,The Nice Guys,2016,https://boxd.it/94Hg,4
2023-01-06,Normal People,2020,https://boxd.it/q2VY,5
2023-01-13,Babysitter,2022,https://boxd.it/sKc8,4
2023-05-08,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,5
2023-10-31,The Creator,2023,https://boxd.it/oXWq,4
2023-11-05,Ghost in the Shell,1995,https://boxd.it/1YYc,3.5
2023-11-07,Lord of War,2005,https://boxd.it/284y,3
2023-11-14,The Killer,2023,https://boxd.it/u6WE,3
2023-11-18,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/pZCY,4
2023-12-16,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,4.5
2023-12-20,The Spectacular Now,2013,https://boxd.it/4VSG,3.5
2023-12-20,Good Will Hunting,1997,https://boxd.it/2ahY,4
2023-12-21,Past Lives,2023,https://boxd.it/oNB8,4
2023-12-26,Saltburn,2023,https://boxd.it/z4eg,3.5
2023-12-27,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2023-12-28,Rebel Moon – Part One: A Child of Fire,2023,https://boxd.it/w0qc,2
2024-01-08,Falcon Lake,2022,https://boxd.it/zHkW,3.5
2024-01-17,The Marvels,2023,https://boxd.it/mwU4,2
2024-01-22,The Farewell,2019,https://boxd.it/kIky,4
2024-01-24,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS,2
2024-02-21,"Oslo, August 31st",2011,https://boxd.it/2xQC,4
2024-02-22,You Were Never Really Here,2017,https://boxd.it/dWOS,4
2024-02-24,The Hurt Locker,2008,https://boxd.it/1Soi,3
2024-02-25,Before Sunrise,1995,https://boxd.it/2bcU,4
2024-02-26,Before Sunset,2004,https://boxd.it/2bcg,4
2024-02-27,Before Midnight,2013,https://boxd.it/4ive,3
2024-02-28,Normal People Confessions,2020,https://boxd.it/sy34,5
2024-03-07,Dune: Part Two,2024,https://boxd.it/pUfA,4
2024-04-01,La La Land,2016,https://boxd.it/a5fa,4
2024-04-06,Amélie,2001,https://boxd.it/2aUc,5
2024-04-15,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2024-04-17,Ex Machina,2015,https://boxd.it/7T2k,4
2024-04-26,One Day,2024,https://boxd.it/L1ZM,4
2024-04-28,Civil War,2024,https://boxd.it/z1jW,3.5
2024-05-05,Castle in the Sky,1986,https://boxd.it/1W4G,5
2024-05-12,The Virgin Suicides,1999,https://boxd.it/28JG,4
2024-05-27,Mars Express,2023,https://boxd.it/lATC,5
2024-09-01,Atonement,2007,https://boxd.it/24ui,5
2024-09-10,Columbus,2017,https://boxd.it/eCuA,3
2024-09-15,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
