Date,Name,Year,Letterboxd URI
2022-06-22,Spiderhead,2022,https://boxd.it/mLsO
2022-06-24,12 Angry Men,1957,https://boxd.it/2auI
2022-06-24,Cloud Atlas,2012,https://boxd.it/2W60
2022-06-24,Newness,2017,https://boxd.it/fpgs
2022-06-24,Pan's Labyrinth,2006,https://boxd.it/28No
2022-06-24,Call Me by Your Name,2017,https://boxd.it/dYmm
2022-06-24,PlayTime,1967,https://boxd.it/1WLK
2022-06-24,Benedetta,2021,https://boxd.it/gdNQ
2022-06-24,Training Day,2001,https://boxd.it/27A4
2022-06-24,Harsh Times,2005,https://boxd.it/20L0
2022-06-24,Dark Blue,2002,https://boxd.it/23Gs
2022-06-24,End of Watch,2012,https://boxd.it/2F5O
2022-06-24,The Lighthouse,2019,https://boxd.it/icFU
2022-06-24,Inherent Vice,2014,https://boxd.it/5hla
2022-06-24,Good Time,2017,https://boxd.it/fcFu
2022-06-24,Trespass,2011,https://boxd.it/2tb6
2022-06-24,Perfect Blue,1997,https://boxd.it/1W7A
2022-06-24,Ham on Rye,2019,https://boxd.it/j9qk
2022-06-24,Petite Maman,2021,https://boxd.it/s6je
2022-06-24,Minari,2020,https://boxd.it/mL9M
2022-06-24,Cry Macho,2021,https://boxd.it/s9z0
2022-06-24,Drive My Car,2021,https://boxd.it/sv94
2022-06-24,Memoria,2021,https://boxd.it/iwtE
2022-06-24,Val,2021,https://boxd.it/vs5a
2022-06-24,All Hands on Deck!,2020,https://boxd.it/oMoi
2022-06-24,I May Destroy You,2020,https://boxd.it/qX9i
2022-06-24,Modern Love,2008,https://boxd.it/1Pwe
2022-06-24,Summertime,2015,https://boxd.it/8htk
2022-06-24,Summertime,2020,https://boxd.it/oiNs
2022-06-24,Annette,2021,https://boxd.it/f0RS
2022-06-24,Law of Tehran,2019,https://boxd.it/ltEU
2022-06-24,Uncut Gems,2019,https://boxd.it/gXGc
2022-06-24,Garden State,2004,https://boxd.it/2asW
2022-06-24,The Weather Man,2005,https://boxd.it/21gM
2022-06-24,Warrior,2011,https://boxd.it/i3G
